,price,fecha,rsi
87,61574.63,2021-10-31T04:10:05.360750Z,69.7074133957486
88,61592.12,2021-10-31T04:00:04.661410Z,70.34706697557162
89,61610.24,2021-10-31T03:50:04.201008Z,71.02958827849152
90,61659.38,2021-10-31T03:40:04.990789Z,72.85436685000715
91,61564.85,2021-10-31T03:30:05.042453Z,64.44498931877587
92,61688.03,2021-10-31T03:20:03.832281Z,69.40137799235153
93,61689.96,2021-10-31T03:10:06.093725Z,69.47318186605787
94,61766.55,2021-10-31T03:00:05.179915Z,72.25559063496401
95,61792.64,2021-10-31T02:50:08.190183Z,73.15326247939022
96,61800.66,2021-10-31T02:40:04.975826Z,73.43776862229132
97,61752.32,2021-10-31T02:30:08.191094Z,68.71121366483706
98,62013.45,2021-10-31T02:20:08.003603Z,77.23493067610812
99,62254.64,2021-10-31T02:10:04.502039Z,82.08848450269632
100,62178.02,2021-10-31T02:00:04.682220Z,76.50807964592991
101,62219.62,2021-10-31T01:50:05.155155Z,77.40614844347536
102,62112.37,2021-10-31T01:40:04.858729Z,69.97860776068917
103,62166.09,2021-10-31T01:30:07.623775Z,71.45603877014729
104,62206.61,2021-10-31T01:20:04.558395Z,72.5532382908726
105,62206.61,2021-10-31T01:10:05.130298Z,72.5532382908726
106,62286.57,2021-10-31T01:00:08.457943Z,74.77254592068766
107,62375.61,2021-10-31T00:50:06.654649Z,77.00253815494688
108,62394.49,2021-10-31T00:40:04.434282Z,77.45756012698607
109,62275.94,2021-10-31T00:30:04.420622Z,68.31713569270529
110,62322.31,2021-10-31T00:20:04.450465Z,69.81743831263286
111,62325.34,2021-10-31T00:10:05.841811Z,69.91768174942588
112,62289.04,2021-10-31T00:00:06.118339Z,67.04482613418133
113,62287.56,2021-10-30T23:50:04.863832Z,66.92408673601363
114,62276.35,2021-10-30T23:40:06.270900Z,65.95522561479842
115,61701.52,2021-10-30T23:30:05.898311Z,36.652756630481434
116,61748.44,2021-10-30T23:20:03.972313Z,39.03369492843285
117,61746.09,2021-10-30T23:10:04.875398Z,38.954722575455875
118,61587.41,2021-10-30T23:00:04.764857Z,33.95868905372903
119,61758.75,2021-10-30T22:50:07.190321Z,42.52966387400224
120,61746.21,2021-10-30T22:40:04.210702Z,42.09902814335573
121,61592.42,2021-10-30T22:30:07.425357Z,37.13315919501679
122,61433.07,2021-10-30T22:20:04.446402Z,32.81407206154397
123,61344.18,2021-10-30T22:10:08.125914Z,30.670968869786208
124,61467.03,2021-10-30T22:00:04.890598Z,36.813072397163374
125,61450.74,2021-10-30T21:50:04.862244Z,36.35316035579091
126,61429.18,2021-10-30T21:40:04.158440Z,35.71715333575176
127,61601.75,2021-10-30T21:30:08.751144Z,44.14106180201554
128,61636.62,2021-10-30T21:20:04.146472Z,45.68977663963727
129,61638.3,2021-10-30T21:10:07.611103Z,45.76779163558894
130,61586.13,2021-10-30T21:00:05.037170Z,43.66993739937522
131,61635.75,2021-10-30T20:50:07.964587Z,46.196035629403525
132,61683.05,2021-10-30T20:40:05.547135Z,48.563953551983516
133,61833.15,2021-10-30T20:30:03.772584Z,55.288672895485746
134,61801.82,2021-10-30T20:20:04.309923Z,53.71023315170619
135,61806.94,2021-10-30T20:10:06.527355Z,53.94164973094554
136,61907.53,2021-10-30T20:00:03.910312Z,58.34741143231608
137,61849.05,2021-10-30T19:50:04.011697Z,55.050472412578976
138,61847.63,2021-10-30T19:40:05.020849Z,54.96925020336608
139,61723.91,2021-10-30T19:30:05.686522Z,48.28487107855867
140,61758.96,2021-10-30T19:20:07.536555Z,50.13486809366635
141,61733.85,2021-10-30T19:10:04.999098Z,48.788347806669165
142,61609.32,2021-10-30T19:00:04.878422Z,42.667862372942764
143,61552.67,2021-10-30T18:50:07.848517Z,40.19739953477766
144,61567.94,2021-10-30T18:40:04.616337Z,41.18591303623821
145,61564.43,2021-10-30T18:30:05.038060Z,41.01807492908688
146,61518.24,2021-10-30T18:20:04.620746Z,38.778535038840076
147,61466.66,2021-10-30T18:10:06.048950Z,36.389215264681326
148,61451.14,2021-10-30T18:00:04.172792Z,35.676911575911575
149,61518.59,2021-10-30T17:50:04.758409Z,41.07530767740892
150,61533.67,2021-10-30T17:40:03.796902Z,42.242415425798654
151,61445.18,2021-10-30T17:30:04.684712Z,37.543227907792684
152,61340.05,2021-10-30T17:20:03.882347Z,32.86553325998417
153,61484.08,2021-10-30T17:10:05.414346Z,43.290345456576816
154,61337.58,2021-10-30T17:00:06.094020Z,36.99728506490489
155,61269.57,2021-10-30T16:50:04.928823Z,34.49064488885457
156,61238.63,2021-10-30T16:40:08.085828Z,33.38255761908086
157,61248.81,2021-10-30T16:30:04.353005Z,34.132377225921495
158,61202.86,2021-10-30T16:20:06.336814Z,32.36176500069318
159,61279.3,2021-10-30T16:10:04.774395Z,38.11318278091995
160,61479.95,2021-10-30T16:00:05.815713Z,50.106287786699966
161,61475.0,2021-10-30T15:50:04.378190Z,49.849634879408576
162,61449.73,2021-10-30T15:40:06.863471Z,48.48429807104966
163,61393.43,2021-10-30T15:30:04.644533Z,45.49461180198242
164,61386.83,2021-10-30T15:20:04.858548Z,45.143183358228434
165,61408.22,2021-10-30T15:10:05.746427Z,46.58332539102677
166,61288.01,2021-10-30T15:00:03.823341Z,40.19659622837224
167,61439.97,2021-10-30T14:50:05.174361Z,49.60304473436843
168,61391.96,2021-10-30T14:40:04.767135Z,47.083315244892056
169,61257.02,2021-10-30T14:30:05.210615Z,40.80863830686566
170,60918.39,2021-10-30T14:20:05.905174Z,30.00285367327693
171,61120.48,2021-10-30T14:10:04.135944Z,40.182577105695835
172,61192.87,2021-10-30T14:00:05.155394Z,43.360154521508036
173,61468.32,2021-10-30T13:50:04.580338Z,53.48542019224255
174,61608.62,2021-10-30T13:40:05.122462Z,57.639240307735875
175,61724.11,2021-10-30T13:30:04.542297Z,60.74670428466108
176,61717.5,2021-10-30T13:20:04.510383Z,60.473273378612305
177,62128.97,2021-10-30T13:10:05.154326Z,69.635684524587
178,61594.6,2021-10-30T13:00:04.134287Z,52.58714755752083
179,61551.48,2021-10-30T12:50:05.386606Z,51.491644989553464
180,61574.65,2021-10-30T12:40:04.571041Z,52.06944587158655
181,61664.93,2021-10-30T12:30:05.134286Z,54.35106176655129
182,61569.97,2021-10-30T12:20:04.986250Z,51.570301233574725
183,61549.97,2021-10-30T12:10:04.794974Z,50.97871452016495
184,61563.41,2021-10-30T12:00:05.326197Z,51.38232910301402
185,61454.85,2021-10-30T11:50:04.018470Z,47.948250964916575
186,61588.03,2021-10-30T11:40:04.421990Z,52.17141345962959
187,61591.97,2021-10-30T11:30:04.548761Z,52.2947269938811
188,61607.78,2021-10-30T11:20:09.035864Z,52.820378583045745
189,61683.95,2021-10-30T11:10:05.602426Z,55.37177521050636
190,61777.36,2021-10-30T11:00:04.478449Z,58.34664277320299
191,61849.66,2021-10-30T10:50:04.702756Z,60.53921234454521
192,61857.63,2021-10-30T10:40:08.719032Z,60.78427006102213
193,61784.56,2021-10-30T10:30:04.678121Z,57.272590125366285
